tari,C1,C2
Bulgaria,-0.04026439179885244,-0.11275586543040035
Czech Republic,0.21357929499474193,-0.2011155732439761
Denmark,0.4403655377050852,0.5798557992241766
Germany,0.6825402570999072,1.0866593292814493
Estonia,-0.016173094570784627,-0.2173842952598837
Ireland,-0.9993244411504992,-0.3215702331277057
Greece,-0.657562548544642,0.47609586711940227
Spain,0.10701616252903036,1.790813836728953
France,-0.22816922454380717,-0.547641462916773
Croatia,0.004156690098862019,-0.1818155248433455
Italy,-0.23771952751964498,-0.6047580552174648
Cyprus,-0.025720791932046315,-0.15961152636526976
Latvia,-0.014843204519428567,-0.22931382989871182
Lithuania,0.012226682659345787,-0.2533229105789897
Luxembourg,-0.026484479601031105,-0.2247537127009232
Hungary,0.4929227244884162,-0.16243781540723948
Malta,-0.018951275453096723,-0.2134412190394187
Netherlands,0.537630205664881,-0.1463734885773185
Austria,-0.03203436147324581,-0.1989462987363574
Poland,1.3616535332760793,-0.0027970378093813775
Portugal,0.17941344146222687,-0.15676671576012546
Romania,-0.31897002774219363,0.18466939219820339
Slovenia,0.014508179694552422,-0.2695859969024229
Slovakia,0.0720851568604315,-0.216139168403697
Finland,0.03183917129689054,-0.23775175365425658
Sweden,-0.01864454265983741,-0.23771868570866983
United Kingdom,-1.5150751263213398,0.777906945030146
