"Code","City","County","Orthodox","Roman_Catholic","Reformed","Pentecostal","Greek_Catholic","Baptist","Seventh.day_Adventist","Islam","Unitarian","Jehova_Witnesses","Evangelical","Old_Calendarists","Evangelical_Lutheran","Serbian_Orthodox","Romanian_Evangelical","Evangelical_Augustan","Judaism","Armenian_Apostolic","Other_Religion","Without_religion","Atheists"
1017,"Municipiul Alba Iulia","AB",0.892,0.021,0.01,0.024,0.021,0.017,0.001,0,0.001,0.005,0.001,0,0,0,0.002,0,0,0,0.001,0.002,0.001
1071,"Ciugud","AB",0.895,0.003,0.003,0.022,0.003,0.033,0,0,0,0.001,0.036,0,0,0,0,0,0,0,0.003,0,0
1151,"Oras Abrud","AB",0.93,0.006,0.007,0.016,0.003,0.026,0,0,0,0.003,0.001,0,0,0,0,0,0,0,0,0.008,0
1213,"Municipiul Aiud","AB",0.776,0.014,0.13,0.011,0.034,0.009,0.005,0,0.011,0.005,0.001,0.001,0,0,0,0,0,0,0.002,0.001,0.001
1348,"Municipiul Blaj","AB",0.744,0.03,0.045,0.012,0.142,0.017,0,0,0,0.002,0.003,0,0.001,0,0.001,0,0,0,0.001,0,0
1455,"Oras Campeni","AB",0.988,0,0,0.004,0.002,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1696,"Oras Cugir","AB",0.935,0.012,0.003,0.014,0.007,0.009,0.001,0,0,0.006,0.003,0.001,0.001,0,0.001,0,0,0,0.001,0.004,0.001
1794,"Oras Ocna Mures","AB",0.789,0.018,0.068,0.046,0.044,0.011,0.007,0,0.001,0.011,0.001,0,0.001,0,0,0,0,0,0.002,0.001,0.001
1874,"Municipiul Sebes","AB",0.906,0.007,0.003,0.034,0.008,0.01,0,0,0,0.011,0.004,0.001,0.003,0,0.004,0.004,0,0,0.002,0.002,0
1936,"Oras Zlatna","AB",0.982,0.004,0.003,0.001,0.001,0.005,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0
