Siruta,Localitate,Judet,i_0_4,i_10_14,i_15_19,i_20_24,i_25_29,i_30_34,i_35_39,i_40_44,i_45_49,i_5_9,i_50_54,i_55_59,i_60_64,i_65_69,i_70_74,i_75_79,i_80_84,i_85
1017,Municipiul Alba Iulia,AB,0.048,0.042,0.042,0.047,0.08,0.087,0.096,0.085,0.082,0.05,0.067,0.079,0.075,0.049,0.026,0.022,0.013,0.009
1071,Ciugud,AB,0.042,0.04,0.055,0.055,0.073,0.072,0.078,0.085,0.077,0.046,0.059,0.064,0.077,0.056,0.037,0.034,0.031,0.021
1151,Oras Abrud,AB,0.026,0.041,0.052,0.069,0.08,0.067,0.069,0.085,0.108,0.04,0.081,0.074,0.066,0.05,0.035,0.028,0.016,0.01
1213,Municipiul Aiud,AB,0.04,0.042,0.044,0.049,0.076,0.074,0.085,0.083,0.084,0.043,0.065,0.081,0.083,0.056,0.034,0.029,0.02,0.012
1348,Municipiul Blaj,AB,0.044,0.054,0.056,0.054,0.076,0.071,0.083,0.082,0.075,0.054,0.057,0.07,0.073,0.054,0.034,0.031,0.019,0.013
1455,Oras Campeni,AB,0.036,0.043,0.052,0.068,0.078,0.065,0.074,0.079,0.086,0.041,0.075,0.077,0.065,0.056,0.037,0.035,0.022,0.012
1696,Oras Cugir,AB,0.033,0.041,0.041,0.05,0.075,0.073,0.082,0.069,0.088,0.04,0.069,0.09,0.086,0.058,0.036,0.037,0.02,0.012
1794,Oras Ocna Mures,AB,0.04,0.047,0.057,0.059,0.07,0.061,0.076,0.088,0.09,0.044,0.061,0.067,0.063,0.054,0.04,0.042,0.026,0.017
1874,Municipiul Sebes,AB,0.049,0.055,0.055,0.061,0.077,0.074,0.091,0.088,0.078,0.06,0.055,0.064,0.068,0.045,0.029,0.025,0.015,0.011
1936,Oras Zlatna,AB,0.037,0.043,0.051,0.062,0.077,0.064,0.07,0.086,0.098,0.036,0.068,0.069,0.061,0.05,0.044,0.044,0.026,0.016
2130,Albac,AB,0.048,0.055,0.062,0.061,0.07,0.059,0.074,0.084,0.085,0.047,0.069,0.052,0.04,0.05,0.045,0.045,0.031,0.023
2309,Almasu Mare,AB,0.026,0.049,0.053,0.057,0.061,0.049,0.062,0.075,0.082,0.037,0.073,0.064,0.066,0.071,0.061,0.055,0.04,0.02
2381,Arieseni,AB,0.026,0.062,0.067,0.06,0.062,0.072,0.067,0.085,0.078,0.042,0.053,0.061,0.052,0.056,0.058,0.04,0.034,0.026
2577,Avram Iancu,AB,0.031,0.052,0.059,0.06,0.059,0.052,0.083,0.083,0.068,0.049,0.049,0.042,0.053,0.053,0.056,0.07,0.054,0.026
2915,Oras Baia De Aries,AB,0.025,0.036,0.067,0.065,0.082,0.057,0.064,0.081,0.107,0.031,0.086,0.079,0.056,0.051,0.039,0.045,0.022,0.009
2988,Berghin,AB,0.037,0.056,0.051,0.055,0.072,0.066,0.07,0.068,0.075,0.045,0.052,0.059,0.068,0.052,0.046,0.05,0.046,0.034
3039,Bistra,AB,0.036,0.054,0.062,0.077,0.074,0.068,0.075,0.092,0.075,0.042,0.073,0.063,0.049,0.047,0.042,0.035,0.025,0.014
3397,Blandiana,AB,0.035,0.037,0.044,0.052,0.045,0.073,0.071,0.078,0.086,0.033,0.055,0.063,0.074,0.078,0.044,0.058,0.05,0.024
3459,Bucium,AB,0.025,0.034,0.037,0.056,0.071,0.052,0.064,0.076,0.094,0.022,0.059,0.087,0.075,0.063,0.066,0.059,0.039,0.021
3761,Cenade,AB,0.051,0.065,0.065,0.075,0.072,0.055,0.068,0.083,0.091,0.062,0.056,0.044,0.047,0.046,0.034,0.028,0.033,0.025
3805,Cergau,AB,0.068,0.058,0.072,0.077,0.074,0.064,0.065,0.084,0.072,0.048,0.053,0.053,0.055,0.045,0.035,0.029,0.028,0.02
3841,Ceru-Bacainti,AB,0.016,0.062,0.035,0.031,0.054,0.066,0.082,0.058,0.062,0.035,0.039,0.062,0.097,0.097,0.074,0.054,0.023,0.051
3958,Cetatea De Balta,AB,0.052,0.076,0.07,0.066,0.084,0.072,0.076,0.07,0.068,0.064,0.044,0.05,0.048,0.038,0.031,0.037,0.035,0.019
4008,Ciuruleasa,AB,0.034,0.056,0.058,0.052,0.085,0.059,0.067,0.074,0.073,0.043,0.076,0.052,0.075,0.053,0.048,0.05,0.027,0.019
4106,Calnic,AB,0.057,0.076,0.074,0.068,0.077,0.079,0.085,0.064,0.065,0.08,0.046,0.058,0.054,0.029,0.027,0.027,0.016,0.018
4142,Cricau,AB,0.039,0.053,0.057,0.054,0.063,0.079,0.081,0.088,0.078,0.051,0.05,0.067,0.072,0.049,0.032,0.037,0.027,0.024
4188,Craciunelu De Jos,AB,0.046,0.061,0.062,0.05,0.079,0.085,0.073,0.081,0.075,0.055,0.059,0.061,0.055,0.048,0.034,0.036,0.023,0.015
4240,Daia Romana,AB,0.046,0.052,0.062,0.056,0.073,0.075,0.082,0.082,0.075,0.054,0.054,0.067,0.061,0.048,0.04,0.034,0.022,0.017
4268,Dostat,AB,0.049,0.072,0.079,0.065,0.076,0.073,0.062,0.074,0.077,0.059,0.049,0.037,0.035,0.043,0.047,0.037,0.034,0.031
4302,Farau,AB,0.035,0.056,0.067,0.052,0.061,0.063,0.067,0.067,0.068,0.04,0.045,0.051,0.059,0.065,0.046,0.075,0.049,0.035
4366,Galda De Jos,AB,0.039,0.043,0.052,0.057,0.069,0.064,0.083,0.086,0.095,0.039,0.062,0.064,0.061,0.055,0.041,0.04,0.027,0.023
4482,Garbova,AB,0.062,0.067,0.06,0.075,0.088,0.071,0.072,0.07,0.078,0.06,0.054,0.056,0.042,0.036,0.026,0.038,0.029,0.016
4525,Garda De Sus,AB,0.035,0.045,0.052,0.065,0.068,0.063,0.064,0.08,0.083,0.042,0.066,0.063,0.054,0.057,0.055,0.052,0.031,0.025
4703,Hoparta,AB,0.064,0.068,0.064,0.053,0.063,0.055,0.073,0.07,0.055,0.057,0.04,0.047,0.067,0.06,0.048,0.046,0.038,0.033
4767,Horea,AB,0.041,0.058,0.077,0.082,0.058,0.056,0.078,0.087,0.073,0.042,0.061,0.048,0.042,0.059,0.042,0.056,0.026,0.015
