,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13
Alcohol,0.21593108246666778,0.5624826981801005,-0.38933127243308224,0.5287797329695229,0.07455940590125482,0.14492957593033495,0.1731229856213886,0.006668976227491024,0.1004648240151099,-0.06476931130395328,0.0031621955233930377,-0.046611191589134265,-0.01962189565514248,0.0
Accidents,0.770194494450496,0.3087642319535621,0.04653400345263194,-0.06824998762498606,-0.3738568575871218,-0.05886451159707144,0.11966661067915295,0.25800516886002217,-0.014333283992209725,0.11399604646655612,-0.06722768939503293,-0.02691869597329098,0.044622450796466144,0.0
Taccidents,0.7698751457520279,-0.3936911502538199,0.14692095414466255,0.05994815382513034,-0.017939774324639307,0.20778007254490427,0.32211752956490003,0.14715560867982314,-0.06504738886109539,-0.1383576922522545,-0.003284971142950977,0.0745484375658704,-0.017121785793354462,0.0
Heart,0.8484490959670544,0.05847276278181914,0.1580087690894078,-0.24875784289466008,-0.0014368412515536088,0.14429568728789977,-0.3579518889806421,0.12979778095116912,0.1294654273434117,0.03318810448909138,-0.0032343344011200163,0.008271769730190004,-0.03356158095506465,0.0
ChronicDis,0.905453628838625,-0.26929495072601517,-0.06981482947342109,-0.0894251122386112,0.1357277171159936,0.09631487114608588,-0.04733081331593402,-0.1512288818730778,0.04344791211715115,-0.14694101071060114,0.09871937653076304,-0.028942134361597992,0.053773870400374665,0.0
Liver,0.7764321029269843,-0.045912648442507954,-0.21823011318522734,-0.3054324674271113,0.224874742183972,0.2993426905286905,0.18081117147514847,-0.16208250091040824,-0.018533887178634818,0.21920206198418224,-0.02385128902692138,-0.02821312481609379,-0.01536160696012405,0.0
Cancer,0.7264170251925668,-0.020896080044646406,-0.5614985359365958,0.14324169814416188,0.10079086294350673,-0.2610412475807341,-0.10423595360666893,-0.00805133221129483,0.18781002810561032,-1.6173790983814935e-05,-0.04703632994252568,0.06568847279816002,0.007208211476511481,0.0
DiabetesM,0.0036715613213964835,-0.6125164896149332,0.11064658696594615,0.5008298048866013,-0.3234723151167796,0.2160565989349706,-0.10477959998267891,0.043186322018570235,0.09878271718563002,0.1252367227657935,0.07224897507804927,-0.023091549258907326,-0.0017347769600044882,0.0
Drugs,-0.43255642910177516,0.46420085938204236,-0.030992638400859047,0.1079431886898372,0.11293131004236673,0.5176377705607074,-0.19538535614899433,0.02875672592170884,-0.06603628546966869,-0.01016664037840311,-0.023353912800493357,0.05449843625200187,0.030058921275546435,0.0
HIV,0.2712336877591126,0.1690190154257707,0.5732950582954727,0.33358011095130197,0.39978755064193305,-0.17600678099901862,0.06601367607008142,-0.05276019144525159,0.017854186722931573,0.18914806437803525,0.0370198380995456,0.04332876509668305,0.0145703287613799,0.0
Homicide,0.6983463725438164,0.265182076244702,0.6149040172026281,0.10196398833466835,0.11950004506757557,-0.02401211402648939,-0.06426852048437649,-0.022729709990569794,0.02373117480628196,-0.15274713410057586,-0.05167962894017395,-0.047727910671224026,-0.0118541719129938,0.0
Pneumonia,-0.14883256998834848,-0.1355672900900268,-0.22478946582163256,-0.033276524038004844,0.5263964646221705,-0.05050364791700045,-0.037936113120561485,0.3445102827800979,-0.07018299485709263,0.009489952763654205,0.08560398912305292,-0.035616365788091145,-0.00018871296417549634,0.0
NervousSystem,-0.4805451862487003,0.3776093493146631,0.17847545386560132,-0.33332166150111064,-0.11165584501887343,0.05496216613402898,0.19399495567217862,0.045216334022091166,0.266625830897336,-0.007578669451694238,0.13149294249025167,0.019064541623793976,-6.184967151458401e-05,0.0
Suicide,0.7321801875502917,0.4400121320960813,-0.14316606052366443,0.048343034862166,-0.27452293052685367,-0.1254278900954966,-0.08908355075175158,-0.05392155472178226,-0.22461791142597046,0.021430455122581366,0.15198568876266957,0.021685515944322425,-0.0180223839988956,0.0
