Siruta,Localitate,V1,V2,V3,V4,V5,C1,C2,C3,C4,C5,C6,C7,C8
1017,Municipiul Alba Iulia,0,0,8430,345,0,4959,5415,25,0,4531,0,15136,5225
1071,Ciugud,864,2677,7890,252,742,1405,214,1563,7895,0,263760,0,1562
1151,Oras Abrud,129429,982,8293,0,3183,1000,3172,3982,382,18582,399,481,1092
1213,Municipiul Aiud,100,982,8440,1,300,5959,5704,125,383,4731,400,15334,6125
1348,Municipiul Blaj,964,3659,7900,2,1042,2405,503,1663,384,200,401,198,2462
1455,Oras Campeni,129529,1964,8303,3,3483,2000,3461,4082,385,18782,402,679,1992
1696,Oras Cugir,200,1964,8450,4,600,6959,5993,225,386,4931,403,15532,7025
1794,Oras Ocna Mures,1064,4641,7910,5,1342,3405,792,1763,387,400,404,396,3362
1874,Municipiul Sebes,129629,2946,8313,6,3783,3000,3750,4182,388,18982,405,877,2892
1936,Oras Zlatna,300,2946,8460,7,900,7959,6282,325,389,5131,406,15730,7925
2130,Albac,1164,5623,7920,8,1642,4405,1081,1863,390,600,407,594,4262
2309,Almasu Mare,129729,3928,8323,9,4083,4000,4039,4282,391,19182,408,1075,3792
2381,Arieseni,400,3928,8470,10,1200,8959,6571,425,392,5331,409,15928,8825
2577,Avram Iancu,1264,6605,7930,11,1942,5405,1370,1963,393,800,410,792,5162
2915,Oras Baia De Aries,129829,4910,8333,12,4383,5000,4328,4382,394,19382,411,1273,4692
2988,Berghin,500,4910,8480,13,1500,9959,6860,525,395,5531,412,16126,9725
3039,Bistra,1364,7587,7940,14,2242,6405,1659,2063,396,1000,413,990,6062
3397,Blandiana,129929,5892,8343,15,4683,6000,4617,4482,397,19582,414,1471,5592
3459,Bucium,600,5892,8490,16,1800,10959,7149,625,398,5731,415,16324,10625
3761,Cenade,1464,8569,7950,17,2542,7405,1948,2163,399,1200,416,1188,6962
3805,Cergau,130029,6874,8353,18,4983,7000,4906,4582,400,19782,417,1669,6492
3841,Ceru-Bacainti,700,6874,8500,19,2100,11959,7438,725,401,5931,418,16522,11525
3958,Cetatea De Balta,1564,9551,7960,20,2842,8405,2237,2263,402,1400,419,1386,7862
4008,Ciuruleasa,130129,7856,8363,21,5283,8000,5195,4682,403,19982,420,1867,7392
4106,Calnic,800,7856,8510,22,2400,12959,7727,825,404,6131,421,16720,12425
4142,Cricau,1664,10533,7970,23,3142,9405,2526,2363,405,1600,422,1584,8762
4188,Craciunelu De Jos,130229,8838,8373,24,5583,9000,5484,4782,406,20182,423,2065,8292
