,Siruta,Localitate,Venituri,Cheltuieli
0,1017,Municipiul Alba Iulia,8775,35291
1,1071,Ciugud,11683,276399
2,1151,Oras Abrud,138704,29090
3,1213,Municipiul Aiud,9523,38761
4,1348,Municipiul Blaj,12525,8216
5,1455,Oras Campeni,139799,31783
6,1696,Oras Cugir,10618,41454
7,1794,Oras Ocna Mures,13620,10909
8,1874,Municipiul Sebes,140894,34476
9,1936,Oras Zlatna,11713,44147
10,2130,Albac,14715,13602
11,2309,Almasu Mare,141989,37169
12,2381,Arieseni,12808,46840
13,2577,Avram Iancu,15810,16295
14,2915,Oras Baia De Aries,143084,39862
15,2988,Berghin,13903,49533
16,3039,Bistra,16905,18988
17,3397,Blandiana,144179,42555
18,3459,Bucium,14998,52226
19,3761,Cenade,18000,21681
20,3805,Cergau,145274,45248
21,3841,Ceru-Bacainti,16093,54919
22,3958,Cetatea De Balta,19095,24374
23,4008,Ciuruleasa,146369,47941
24,4106,Calnic,17188,57612
25,4142,Cricau,20190,27067
26,4188,Craciunelu De Jos,147464,50634
27,4240,Daia Romana,18283,60305
28,4268,Dostat,21285,29760
29,4302,Farau,148559,53327
30,4366,Galda De Jos,19378,62998
31,4482,Garbova,22380,32453
32,4525,Garda De Sus,149654,56020
33,4703,Hoparta,20473,65691
34,4767,Horea,23475,35146
35,4927,Ighiu,150749,58713
36,4981,Intregalde,21568,68384
37,5103,Jidvei,24570,37839
38,5167,Livezile,151844,61406
39,5210,Lopadea Noua,22663,71077
40,5309,Lunca Muresului,25665,40532
41,5336,Lupsa,152939,64099
42,5577,Metes,23758,73770
43,5700,Mihalt,26760,43225
44,5755,Miraslau,154034,66792
45,5826,Mogos,24853,76463
46,6048,Noslac,27855,45918
47,6119,Ocolis,155129,69485
48,6164,Ohaba,25948,79156
49,6217,Pianu,28950,48611
50,6271,Poiana Vadului,156224,72178
51,6397,Ponor,27043,81849
52,6468,Posaga,30045,51304
53,6547,Radesti,157319,74871
54,6592,Rametea,28138,84542
55,6627,Ramet,31140,53997
56,6761,Rosia Montana,158414,77564
57,6930,Rosia De Secas,29233,87235
58,6976,Salciua,32235,56690
59,7044,Salistea,159509,80257
60,7099,Sasciori,30328,89928
61,7197,Scarisoara,33330,59383
62,7348,Sancel,160604,82950
63,7384,Santimbru,31423,92621
64,7446,Sohodol,34425,62076
65,7767,Stremt,161699,85643
66,7810,Sibot,32518,95314
67,7865,Sona,35520,64769
68,7945,Spring,162794,88336
69,8014,Sugag,33613,98007
70,8096,Oras Teius,36615,67462
71,8158,Unirea,163889,91029
72,8229,Vadu Motilor,34708,100700
73,8354,Valea Lunga,37710,70155
74,8425,Vidra,164984,93722
75,8826,Vintu De Jos,35803,103393
76,9019,Cut,38805,72848
77,9026,Bucerdea Granoasa,166079,96415
78,9262,Municipiul Arad,36898,106086
79,9280,Fantanele,39900,75541
80,9333,Livada,167174,99108
81,9360,Sofronea,37993,108779
82,9397,Vladimirescu,40995,78234
83,9459,Oras Chisineu-Cris,168269,101801
84,9495,Oras Curtici,39088,111472
85,9538,Oras Ineu,42090,80927
86,9574,Oras Lipova,169364,104494
87,9627,Oras Nadlac,40183,114165
88,9654,Oras Pancota,43185,83620
89,9690,Oras Sebis,170459,107187
90,9743,Almas,41278,116858
91,9798,Apateu,44280,86313
92,9832,Archis,171554,109880
93,9887,Bata,42373,119551
94,9930,Beliu,45375,89006
95,10006,Birchis,172649,112573
96,10051,Barsa,43468,122244
97,10104,Barzava,46470,91699
98,10195,Bocsig,173744,115266
99,10239,Brazii,44563,124937
100,10293,Buteni,47565,94392
101,10346,Carand,174839,117959
102,10373,Cermei,45658,127630
103,10417,Chisindia,48660,97085
104,10453,Conop,175934,120652
105,10514,Covasint,46753,130323
106,10532,Craiva,49755,99778
107,10649,Dezna,177029,123345
108,10701,Dieci,47848,133016
109,10765,Ususau,50850,102471
110,10827,Felnac,178124,126038
111,10872,Ghioroc,48943,135709
112,10916,Graniceri,51945,105164
113,10943,Gurahont,179219,128731
114,11058,Halmagiu,50038,138402
115,11174,Halmagel,53040,107857
116,11236,Hasmas,180314,131424
117,11307,Ignesti,51133,141095
118,11352,Iratosu,54135,110550
119,11398,Macea,181409,134117
120,11423,Misca,52228,143788
121,11478,Moneasa,55230,113243
122,11502,Olari,182504,136810
123,11539,Paulis,53323,146481
124,11584,Oras Pecica,56325,115936
125,11637,Peregu Mare,183599,139503
126,11664,Petris,54418,149174
127,11735,Pilu,57420,118629
128,11762,Plescuta,184694,142196
129,11842,Savarsin,55513,151867
130,11940,Secusigiu,58515,121322
131,11995,Seleus,185789,144889
132,12037,Semlac,56608,154560
133,12055,Sintea Mare,59610,124015
134,12091,Oras Santana,186884,147582
