,Code,Country,Consum_Medie
97,LTU,Lithuania,14.662
109,MDA,Moldova,14.536000000000001
137,RUS,Russia,14.524000000000001
44,CZE,Czechia,14.504
15,BLR,Belarus,14.27
136,ROU,Romania,14.128
174,UGA,Uganda,14.052000000000001
98,LUX,Luxembourg,13.4
80,IRL,Ireland,13.35
64,DEU,Germany,13.209999999999999
60,FRA,France,12.908000000000001
134,PRT,Portugal,12.774000000000001
74,HUN,Hungary,12.774000000000001
147,SYC,Seychelles,12.558
177,GBR,United Kingdom,12.468
9,AUT,Austria,12.428
151,SVN,Slovenia,12.216
16,BEL,Belgium,11.984
25,BGR,Bulgaria,11.905999999999999
59,FIN,Finland,11.870000000000001
156,ESP,Spain,11.866
55,EST,Estonia,11.846
150,SVK,Slovakia,11.84
3,AND,Andorra,11.794
161,CHE,Switzerland,11.73
122,NGA,Nigeria,11.675999999999998
92,LVA,Latvia,11.552000000000001
8,AUS,Australia,11.505999999999998
46,DNK,Denmark,11.315999999999999
175,UKR,Ukraine,11.304
43,CYP,Cyprus,11.242
138,RWA,Rwanda,11.041999999999998
133,POL,Poland,10.864
119,NZL,New Zealand,10.745999999999999
140,LCA,Saint Lucia,10.734
155,KOR,South Korea,10.52
66,GRC,Greece,10.25
118,NLD,Netherlands,10.232
41,HRV,Croatia,10.228
26,BFA,Burkina Faso,10.006
111,MNE,Montenegro,9.9383443568
164,TZA,Tanzania,9.88
48,DMA,Dominica,9.85
154,ZAF,South Africa,9.754
139,KNA,Saint Kitts and Nevis,9.661999999999999
61,GAB,Gabon,9.629999999999999
178,USA,United States,9.546
6,ARG,Argentina,9.1525
67,GRD,Grenada,9.084
160,SWE,Sweden,8.944
90,KGZ,Kyrgyzstan,8.914
34,CHL,Chile,8.862
82,ITA,Italy,8.51
53,GNQ,Equatorial Guinea,8.374
14,BRB,Barbados,8.296
146,SRB,Serbia,8.2743443568
23,BRA,Brazil,8.174000000000001
56,SWZ,Eswatini,8.174000000000001
22,BWA,Botswana,8.146
125,NOR,Norway,8.138
30,CAN,Canada,8.0303443568
27,BDI,Burundi,8.027999999999999
75,ISL,Iceland,8.026
84,JPN,Japan,7.85
143,STP,Sao Tome and Principe,7.666000000000001
63,GEO,Georgia,7.6659999999999995
182,VEN,Venezuela,7.640000000000001
71,GUY,Guyana,7.596000000000001
165,THA,Thailand,7.534000000000001
110,MNG,Mongolia,7.4399999999999995
91,LAO,Laos,7.380000000000001
179,URY,Uruguay,7.312
1,ALB,Albania,7.164
141,VCT,Saint Vincent and the Grenadines,7.110000000000001
130,PRY,Paraguay,7.091999999999999
21,BIH,Bosnia and Herzegovina,6.992
29,CMR,Cameroon,6.912000000000001
104,MLT,Malta,6.9
131,PER,Peru,6.846000000000001
128,PAN,Panama,6.7
17,BLZ,Belize,6.55
49,DOM,Dominican Republic,6.547999999999999
124,MKD,North Macedonia,6.4719999999999995
132,PHL,Philippines,6.454000000000001
31,CPV,Cape Verde,6.4079999999999995
86,KAZ,Kazakhstan,6.38
169,TTO,Trinidad and Tobago,6.249999999999999
4,AGO,Angola,6.142
38,COG,Congo,6.1080000000000005
95,LBR,Liberia,5.924
35,CHN,China,5.82
94,LSO,Lesotho,5.714
148,SLE,Sierra Leone,5.706
5,ATG,Antigua and Barbuda,5.674
159,SUR,Suriname,5.611999999999999
107,MEX,Mexico,5.608
36,COL,Colombia,5.510000000000001
50,ECU,Ecuador,5.422
7,ARM,Armenia,5.42
42,CUB,Cuba,5.372
185,ZMB,Zambia,5.362
183,VNM,Vietnam,5.252000000000001
39,CRI,Costa Rica,5.08
120,NIC,Nicaragua,5.07
172,TKM,Turkmenistan,4.95
70,GNB,Guinea-Bissau,4.872
11,BHS,Bahamas,4.662000000000001
106,MUS,Mauritius,4.518000000000001
116,NRU,Nauru,4.518
28,KHM,Cambodia,4.496
20,BOL,Bolivia,4.488
83,JAM,Jamaica,4.426
76,IND,India,4.008
62,GMB,Gambia,3.8880000000000003
158,SDN,Sudan,3.8839590918000004
65,GHA,Ghana,3.84
186,ZWE,Zimbabwe,3.75
115,NAM,Namibia,3.722
123,PRK,North Korea,3.72
52,SLV,El Salvador,3.69
40,CIV,Cote d'Ivoire,3.6799999999999997
33,TCD,Chad,3.6720000000000006
73,HND,Honduras,3.6439999999999997
180,UZB,Uzbekistan,3.604
10,AZE,Azerbaijan,3.444
68,GTM,Guatemala,3.44
176,ARE,United Arab Emirates,3.412
81,ISR,Israel,3.3939999999999997
157,LKA,Sri Lanka,3.386
72,HTI,Haiti,3.2479999999999998
142,WSM,Samoa,3.242
32,CAF,Central African Republic,3.218
100,MWI,Malawi,3.15
87,KEN,Kenya,3.1359999999999997
58,FJI,Fiji,3.134
114,MMR,Myanmar,2.8920000000000003
108,FSM,Micronesia (country),2.882
163,TJK,Tajikistan,2.854
18,BEN,Benin,2.588
0,AFG,Afghanistan,2.572344356800001
167,TGO,Togo,2.3980000000000006
171,TUR,Turkey,2.2039999999999997
57,ETH,Ethiopia,2.1719999999999997
93,LBN,Lebanon,2.114
149,SGP,Singapore,2.112
126,OMN,Oman,2.0799999999999996
113,MOZ,Mozambique,1.95
102,MDV,Maldives,1.9
99,MDG,Madagascar,1.8719999999999999
173,TUV,Tuvalu,1.834
117,NPL,Nepal,1.8219999999999998
181,VUT,Vanuatu,1.6920000000000002
170,TUN,Tunisia,1.6660000000000004
54,ERI,Eritrea,1.578
129,PNG,Papua New Guinea,1.568
152,SLB,Solomon Islands,1.556
135,QAT,Qatar,1.544
45,COD,Democratic Republic of Congo,1.5219999999999998
12,BHR,Bahrain,1.5159999999999998
166,TLS,Timor,1.448
168,TON,Tonga,1.3779999999999997
88,KIR,Kiribati,1.3499999999999999
153,SOM,Somalia,1.294181691
19,BTN,Bhutan,1.228
101,MYS,Malaysia,1.166
103,MLI,Mali,1.1640000000000001
47,DJI,Djibouti,0.898
69,GIN,Guinea,0.8640000000000001
112,MAR,Morocco,0.852
2,DZA,Algeria,0.784
145,SEN,Senegal,0.78
78,IRN,Iran,0.768
162,SYR,Syria,0.694
85,JOR,Jordan,0.6599999999999999
77,IDN,Indonesia,0.5479999999999999
37,COM,Comoros,0.49000000000000005
79,IRQ,Iraq,0.42800000000000005
121,NER,Niger,0.402
24,BRN,Brunei,0.378
51,EGY,Egypt,0.332
184,YEM,Yemen,0.2832
127,PAK,Pakistan,0.213
144,SAU,Saudi Arabia,0.182
13,BGD,Bangladesh,0.11800000000000002
105,MRT,Mauritania,0.097
96,LBY,Libya,0.058600000000000006
89,KWT,Kuwait,0.019
