,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
Alcohol,0.04823929152047183,0.3631529345327061,0.5488266951464178,0.571355496540567,0.8772843075357896,0.8773482317417457,0.9501968746320769,0.9652982050665262,0.9653087475095551,0.9809347533970306,0.981791932331354,0.9975118899179294,0.9995220992183913,0.9999999999999992
Accidents,0.6000236550442569,0.6987285309523298,0.7013789681591601,0.7812047777574199,0.7814401547060844,0.7880812215320141,0.8142950816792534,0.9113562321359042,0.9349105131773809,0.9515716336865186,0.9923799363159798,0.9927889650220515,0.9970063557675907,1.0
Taccidents,0.5943766894229678,0.7261626685516561,0.749016945953222,0.7490751224745106,0.7495914490174462,0.7892607988800019,0.8926408911084385,0.8945810251751933,0.9581504068794335,0.9700527122630342,0.9703463795523889,0.9928325274494207,0.9986374385690368,1.0000000000000009
Heart,0.7114117010314519,0.7167835141630602,0.7342873396925569,0.7346765827243039,0.786736001011725,0.8373951338430531,0.8680119407417536,0.9093425340726004,0.96401241830918,0.9655470616704375,0.9765857295585274,0.9821582659021452,0.9999992418976934,1.000000000000001
ChronicDis,0.8131799356293445,0.8736241565319377,0.878245183787379,0.8813199542614207,0.8948509370451471,0.9153978938578232,0.916015928593586,0.9380824463789333,0.9505606020519352,0.9634521408087654,0.9799579224195275,0.9809910731594528,0.9836604292731079,0.9999999999999993
Liver,0.5953189070204701,0.5961194671937626,0.6455320239750574,0.6490722509231293,0.7350149425681206,0.8194162298602428,0.8280367661208247,0.915808983802169,0.9169816487685231,0.9800899008059825,0.9800921607171584,0.9957084678000861,0.9975212879000208,0.9999999999999998
Cancer,0.5243745069250999,0.5259422854781322,0.8126701038503561,0.8152780796258595,0.8252325292625506,0.8782607814876482,0.8796975472314899,0.8823802182386539,0.9561918318206535,0.9566321817565306,0.9658572992950003,0.9950143393303507,0.9965866072471232,0.9999999999999996
DiabetesM,4.771812796835863e-05,0.413142638998959,0.4445761624767233,0.4779164146127681,0.8254358937413553,0.8708198992949351,0.8947549313010138,0.9385036545259122,0.980219793534965,0.992835780548012,0.9960238653787968,0.9986972197318483,0.9998024487553926,1.0000000000000007
Drugs,0.2062732101927317,0.4721339692278916,0.4787047591082683,0.49870113654960685,0.5335555453830261,0.9449071134748679,0.9753311294642251,0.9782628419987776,0.978424563085329,0.9798243004438137,0.9800156718259262,0.9991175664667195,0.9999970963476437,1.0000000000000002
HIV,0.07967477726968451,0.11596738840859416,0.484092782031517,0.8241806530882787,0.875585829413128,0.9177810081839033,0.9183760498324661,0.9387176435098664,0.9442246728497633,0.9931868296359359,0.9934135476007333,0.99802038469121,0.999285353725282,1.0
Homicide,0.4836680226013225,0.5592336424121607,0.8738464829347046,0.9141744859046659,0.9153483000123864,0.9156789169361128,0.9190960117121164,0.9227322210350121,0.922735294627757,0.9787517462132135,0.9792440920685513,0.9844763479223528,0.9956966768396798,1.0
Pneumonia,0.026817446974191386,0.06677088756510664,0.21666239057255948,0.7618663086533977,0.8256225113118603,0.825683435612836,0.8480539168593044,0.9948627147064821,0.995730472872556,0.9957777333631534,0.9989525555413347,0.9997538952696162,0.9999997161270031,1.0000000000000004
NervousSystem,0.2625446572884607,0.4741369598114599,0.5193943352379959,0.5587936120982661,0.7100731303751485,0.7117233941284842,0.9185683452995816,0.9187113988541714,0.9904808396251472,0.9904989196505397,0.9976883017433176,0.9999452573529226,0.999972146426366,0.9999999999999993
Suicide,0.5448919999403631,0.7331468305102098,0.7540011658679324,0.7985591806473086,0.8092776813244755,0.832068295037352,0.8488960484743725,0.8841198175983235,0.8892004680163915,0.9026733398615883,0.9980689166497111,0.998598887605308,0.9995178327232476,0.9999999999999998
