,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
Alcohol,0.21963444975793717,-0.5611716698232674,-0.43089878233027273,0.15009597394383775,0.5531083175972158,0.007995261468902653,0.2699048774852564,-0.12288747061620746,0.003246912845908648,-0.1250040234851484,-0.029277618317126962,-0.12537925500885466,0.04483535770418114,0.021860941919504197
Accidents,0.7746119383563985,-0.31417332144546084,0.0514823970579293,-0.2825346166370765,-0.015341999500210505,-0.08149274094009686,0.16190694903937647,0.31154638572233645,-0.15347404028524417,0.12907796291055132,-0.2020106497921857,0.02022445811565022,-0.06494144089515694,0.054714205033147306
Taccidents,0.7709582929205495,0.3630233864762549,0.1511763123031046,0.007627353491784811,0.022722819872006268,0.1991716592855411,0.32152774721388605,-0.044046952979234485,-0.2521296922304872,-0.10909768734304463,0.017136723413612893,0.1499538192145562,0.07618996731601854,-0.03691288976718335
Heart,0.843452251779229,-0.07329265400849033,0.13230202390551954,-0.019729243060672166,-0.22816533103743228,0.2250758379554058,-0.17497658957329273,0.20329927036476733,0.2338159195533523,-0.039174524390953036,-0.10506506502206131,-0.07464942292889955,0.13357011640164215,-0.0008706907072454453
ChronicDis,0.901764900419918,0.24585406423850945,-0.06797813806983344,0.05545061292755681,-0.1163227526485094,0.1433420971406383,-0.02486030441814387,-0.14854803191340943,0.11170566535767903,-0.11354091225998768,0.128474828704934,0.03214266230300836,-0.05166581184550553,0.1278263303349171
Liver,0.7715691200537189,0.028294172072930533,-0.222289353729086,0.05949980628600343,-0.2931598397546829,0.29051899643934165,0.09284684302970075,-0.29626376369941765,-0.03424419609735446,0.25121355862584216,-0.0015033000951005513,-0.12496522349408923,-0.0425772251319252,-0.04978666588534437
Cancer,0.724137077441212,0.039595183457489885,-0.5354697175118532,0.051068344162537846,0.09977198823663448,-0.2302786404013571,-0.03790469289997792,-0.05179450749996553,0.2716829283963194,-0.02098451657477856,-0.09604747544037616,0.17075432654943282,-0.03965183371261067,-0.05842424798725549
DiabetesM,0.006907830916312199,0.6427246073327134,0.1772950181978172,-0.18259313277351047,0.5895078278772786,0.2130352213920971,0.15470950845400136,0.20916195453499292,0.2042452912775539,0.11232091084498466,0.056463128064116845,-0.051704490646862465,-0.03324498493824611,-0.01405529240564099
Drugs,-0.45417310597693,-0.5156168723336736,-0.08106040883425615,0.14140854797832605,0.18669335508640694,0.6413669527593714,-0.17442481471785257,0.05414529097301489,-0.012716960586216403,0.037413064008240536,-0.013833704569362358,0.13820960401069557,-0.029656869034410834,0.0017040106679389027
HIV,0.2822672089876621,-0.19050619711418745,0.6067333793544928,0.5831705334263397,0.22672709658276238,-0.20541465081822985,0.024393475532666437,-0.14262395898796346,0.07420936153813035,0.2212739405943967,-0.01505715659735972,0.06787368481581559,0.0355664031646722,0.026732868808230552
Homicide,0.6954624523303343,-0.2748920148182521,0.5609035928950215,0.20081833325162643,0.034260970618482885,0.01818287446270336,-0.058455921650450694,0.06030098940229433,0.0017531664909454065,-0.2366779490900164,0.022188867824606492,-0.07233433385192357,-0.10592605400621213,-0.06559971920915669
Pneumonia,-0.1637603339462624,0.19988356758602058,-0.3871582402680496,0.7383792508466351,-0.25249990625436397,0.0078054020380596695,0.14956764772660028,0.3831563621384587,-0.02945773525025099,0.006874626578765767,0.05634556041234476,-0.028307944614216755,-0.01567867524336454,0.0005327973324202133
NervousSystem,-0.5123911174956692,-0.45999163310108065,0.21273780911379161,-0.19849251084176994,-0.38894667793526977,0.040623438472581375,0.45480210110673136,0.011960499763377907,0.267898191055811,-0.004252061311002086,0.08479022404014423,0.04750742688890956,-0.0051854675240911585,-0.005277648494672586
Suicide,0.7381680025172881,-0.43388342970185745,-0.1444103021176905,-0.2110876945238071,0.10353019210436605,-0.15096560440337548,-0.12972183099625303,0.18767996463115336,-0.07127868137155756,0.11607270068882149,0.30886174380800674,0.023021098053674395,0.030314107572870338,-0.021958307693268658
