Tara,RS,FR,IM,MMR,LE,LEM,LEF
Antigua and Barbuda,-0.29,3.15,164.0,25.3,62.0,30.0,67.0
Azerbaijan,-0.39,1.44,207.0,44.1,57.0,52.0,64.0
Bahamas,-1.64,1.7,192.0,43.5,64.0,88.0,35.0
Bosnia and Herzegovina,-0.64,2.65,117.0,52.7,64.0,84.0,50.0
Brunei Darussalam,-1.32,1.71,110.0,63.7,65.0,34.0,75.0
Colombia,-0.23,1.7,174.0,62.1,62.0,37.0,80.0
Guinea,-0.08,2.78,364.0,28.8,45.0,43.0,73.0
Kiribati,-0.66,3.13,239.0,22.1,54.0,46.0,79.0
Kyrgyzstan,-0.32,3.49,249.0,43.8,55.0,39.0,40.0
Luxembourg,-0.82,2.18,95.0,54.0,72.0,42.0,48.0
Malawi,-0.24,3.98,504.0,21.7,35.0,47.0,81.0
Mauritius,-0.36,1.44,172.0,66.0,62.0,32.0,51.0
Myanmar,-0.1,2.12,281.0,39.1,52.0,32.0,84.0
Nepal,-0.11,1.55,300.0,43.5,52.0,42.0,42.0
Saint Kitts and Nevis,-0.94,2.24,182.0,2.8,62.0,34.0,46.0
Saint Vincent and the Grenadines,-0.82,4.08,214.0,49.6,61.0,80.0,58.0
San Marino,-0.69,1.57,57.0,37.8,73.0,80.0,38.0
Senegal,-0.77,5.89,293.0,22.8,48.0,83.0,81.0
Slovakia,-2.02,1.41,147.0,52.7,66.0,70.0,39.0
Swaziland,-0.66,4.77,456.0,26.8,34.0,89.0,65.0
Venezuela,-0.01,1.56,143.0,52.6,64.0,80.0,59.0
Yemen,-0.07,1.95,260.0,33.3,49.0,51.0,36.0
Zambia,-0.08,2.9,643.0,22.9,35.0,88.0,43.0
Zimbabwe,-0.07,1.85,694.0,28.1,34.0,32.0,52.0
