Judet,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_
ab,604.8429487179487,604.8429487179487,2443.49358974359,2015.2884615384614,10547.48717948718,1765.5243589743588,604.8429487179487,1950.198717948718
ag,950.7794117647059,950.7794117647059,3169.264705882353,3169.264705882353,12677.058823529413,633.8529411764706,950.7794117647059,3169.264705882353
ar,912.2057692307693,912.2057692307693,3040.6858974358975,3040.6858974358975,12162.74358974359,608.1371794871794,912.2057692307693,3040.6858974358975
b,316109.85,316109.85,1053699.5,1053699.5,4214798.0,210739.9,316109.85,1053699.5
bc,1205.9499999999998,1205.9499999999998,4019.8333333333335,4019.8333333333335,16079.333333333334,803.9666666666666,1205.9499999999998,4019.8333333333335
bh,920.0123762376238,920.0123762376238,3066.707920792079,3066.707920792079,12266.831683168317,613.3415841584158,920.0123762376238,3066.707920792079
bn,797.1532258064516,797.1532258064516,2657.1774193548385,2657.1774193548385,10628.709677419354,531.4354838709677,797.1532258064516,2657.1774193548385
br,1214.9318181818182,1214.9318181818182,4049.7727272727275,4049.7727272727275,16199.09090909091,809.9545454545455,1214.9318181818182,4049.7727272727275
bt,877.7,877.7,2925.6666666666665,2925.6666666666665,11702.666666666666,585.1333333333333,877.7,2925.6666666666665
bv,1632.8172413793102,1632.8172413793102,5442.724137931034,5442.724137931034,21770.896551724138,1088.5448275862068,1632.8172413793102,5442.724137931034
bz,825.8931034482758,825.8931034482758,2752.977011494253,2752.977011494253,11011.908045977012,550.5954022988506,825.8931034482758,2752.977011494253
cj,1337.848148148148,1337.848148148148,4459.493827160494,4459.493827160494,17837.975308641977,891.8987654320988,1337.848148148148,4459.493827160494
cl,866.1600000000001,866.1600000000001,2887.2,2887.2,11548.8,577.44,866.1600000000001,2887.2
cs,639.5396103896104,639.5396103896104,2131.7987012987014,2131.7987012987014,8527.194805194806,426.35974025974025,639.5396103896104,2131.7987012987014
ct,1650.4714285714285,1650.4714285714285,5501.571428571428,5501.571428571428,22006.285714285714,1100.3142857142857,1650.4714285714285,5501.571428571428
cv,762.84,762.84,2542.8,2542.8,10171.2,508.56,762.84,2542.8
db,891.2207865168539,891.2207865168539,2970.7359550561796,2970.7359550561796,11882.943820224718,594.1471910112359,891.2207865168539,2970.7359550561796
dj,947.081081081081,947.081081081081,3156.936936936937,3156.936936936937,12627.747747747748,631.3873873873874,947.081081081081,3156.936936936937
gj,785.2049999999999,785.2049999999999,2617.35,2617.35,10469.4,523.47,785.2049999999999,2617.35
gl,1459.05,1459.05,4863.5,4863.5,19454.0,972.7,1459.05,4863.5
gr,769.25,769.25,2564.1666666666665,2564.1666666666665,10256.666666666666,512.8333333333334,769.25,2564.1666666666665
hd,1022.2239130434782,1022.2239130434782,3407.413043478261,3407.413043478261,13629.652173913044,681.4826086956522,1022.2239130434782,3407.413043478261
hr,747.2888059701493,747.2888059701493,2490.9626865671644,2490.9626865671644,9963.850746268658,498.19253731343287,747.2888059701493,2490.9626865671644
if,1465.94625,1465.94625,4886.4875,4886.4875,19545.95,977.2975,1465.94625,4886.4875
il,668.0454545454545,668.0454545454545,2226.818181818182,2226.818181818182,8907.272727272728,445.3636363636364,668.0454545454545,2226.818181818182
is,1409.7795918367347,1409.7795918367347,4699.265306122449,4699.265306122449,18797.061224489797,939.8530612244897,1409.7795918367347,4699.265306122449
mh,652.2840909090909,652.2840909090909,2174.280303030303,2174.280303030303,8697.121212121212,434.8560606060606,652.2840909090909,2174.280303030303
mm,1038.5467105263158,1038.5467105263158,3461.8223684210525,3461.8223684210525,13847.28947368421,692.3644736842105,1038.5467105263158,3461.8223684210525
ms,876.9882352941177,876.9882352941177,2923.294117647059,2923.294117647059,11693.176470588236,584.6588235294117,876.9882352941177,2923.294117647059
nt,1044.5909638554217,1044.5909638554217,3481.9698795180725,3481.9698795180725,13927.87951807229,696.3939759036144,1044.5909638554217,3481.9698795180725
ot,603.1245535714286,603.1245535714286,2010.4151785714287,2010.4151785714287,8041.660714285715,402.0830357142857,603.1245535714286,2010.4151785714287
ph,1167.3951923076925,1167.3951923076925,3891.3173076923076,3891.3173076923076,15565.26923076923,778.2634615384615,1167.3951923076925,3891.3173076923076
sb,1088.70234375,1088.70234375,3629.0078125,3629.0078125,14516.03125,725.8015625,1088.70234375,3629.0078125
sj,609.1032786885246,609.1032786885246,2030.344262295082,2030.344262295082,8121.377049180328,406.0688524590164,609.1032786885246,2030.344262295082
sm,902.166923076923,902.166923076923,3007.223076923077,3007.223076923077,12028.892307692307,601.4446153846154,902.166923076923,3007.223076923077
sv,980.071052631579,980.071052631579,3266.90350877193,3266.90350877193,13067.61403508772,653.3807017543859,980.071052631579,3266.90350877193
tl,718.8000000000001,718.8000000000001,2396.0,2396.0,9584.0,479.2,718.8000000000001,2396.0
tm,1126.4045454545455,1126.4045454545455,3754.681818181818,3754.681818181818,15018.727272727272,750.9363636363636,1126.4045454545455,3754.681818181818
tr,602.5824742268042,602.5824742268042,2008.6082474226805,2008.6082474226805,8034.432989690722,401.7216494845361,602.5824742268042,2008.6082474226805
vl,679.7376404494382,679.7376404494382,2265.7921348314608,2265.7921348314608,9063.168539325843,453.1584269662921,679.7376404494382,2265.7921348314608
vn,804.6287671232877,804.6287671232877,2682.095890410959,2682.095890410959,10728.383561643835,536.4191780821917,804.6287671232877,2682.095890410959
vs,839.4279069767442,839.4279069767442,2798.093023255814,2798.093023255814,11192.372093023256,559.6186046511627,839.4279069767442,2798.093023255814
