,Siruta,Localitate,Votanti_LP,Barbati_25-34,Barbati_35-44,Barbati_45-64,Barbati_65_,Femei_18-24,Femei_35-44,Femei_45-64,Femei_65_,0
0,1017,Municipiul Alba Iulia,30000,1142.45,1142.45,37141.5,3741.5,14866,7428.3,1142.45,141.5,Femei_65_
1,1071,Ciugud,31000,447.45,447.45,1491.5,1491.5,200000,298.3,447.45,14.5,Femei_65_
2,1151,Oras Abrud,32000,826.95,826.95,2756.5,2756.5,11026,551.3,826.95,2756.5,Femei_35-44
3,1213,Municipiul Aiud,33000,3947.7,3947.7,13159.0,13159.0,52636,2631.8,3947.7,13159.0,Femei_35-44
4,1348,Municipiul Blaj,34000,3149.1,3149.1,10497.0,10497.0,41988,2099.4,3149.1,10497.0,Femei_35-44
5,1455,Oras Campeni,35000,1144.35,1144.35,3814.5,3814.5,15258,762.9,1144.35,3814.5,Femei_35-44
6,1696,Oras Cugir,36000,4015.2,4015.2,13384.0,13384.0,53536,2676.8,4015.2,13384.0,Femei_35-44
7,1794,Oras Ocna Mures,37000,2196.15,2196.15,7320.5,7320.5,29282,1464.1,2196.15,7320.5,Femei_35-44
8,1874,Municipiul Sebes,38000,4882.8,4882.8,16276.0,16276.0,65104,3255.2,4882.8,16276.0,Femei_35-44
9,1936,Oras Zlatna,39000,1196.1,1196.1,3987.0,3987.0,15948,797.4,1196.1,3987.0,Femei_35-44
10,2130,Albac,40000,318.9,318.9,1063.0,1063.0,4252,212.6,318.9,1063.0,Femei_35-44
11,2309,Almasu Mare,41000,193.05,193.05,643.5,643.5,2574,128.7,193.05,643.5,Femei_35-44
12,2381,Arieseni,42000,258.3,258.3,861.0,861.0,3444,172.2,258.3,861.0,Femei_35-44
13,2577,Avram Iancu,43000,234.0,234.0,780.0,780.0,3120,156.0,234.0,780.0,Femei_35-44
14,2915,Oras Baia De Aries,44000,611.4,611.4,2038.0,2038.0,8152,100000.0,611.4,2038.0,Barbati_25-34
15,2988,Berghin,45000,308.55,308.55,1028.5,1028.5,4114,205.7,308.55,1028.5,Femei_35-44
16,3039,Bistra,46000,725.85,725.85,2419.5,2419.5,9678,483.9,725.85,2419.5,Femei_35-44
17,3397,Blandiana,47000,142.2,142.2,474.0,474.0,1896,94.8,142.2,474.0,Femei_35-44
18,3459,Bucium,48000,229.5,229.5,765.0,765.0,3060,153.0,229.5,765.0,Femei_35-44
19,3761,Cenade,49000,147.45,147.45,491.5,491.5,1966,98.3,147.45,491.5,Femei_35-44
20,3805,Cergau,50000,244.2,244.2,814.0,814.0,3256,162.8,244.2,814.0,Femei_35-44
21,3841,Ceru-Bacainti,51000,38.55,38.55,128.5,128.5,514,25.7,38.55,128.5,Femei_35-44
22,3958,Cetatea De Balta,52000,476.25,476.25,1587.5,1587.5,6350,317.5,476.25,1587.5,Femei_35-44
23,4008,Ciuruleasa,53000,179.7,179.7,599.0,599.0,2396,119.8,179.7,599.0,Femei_35-44
24,4106,Calnic,54000,282.0,282.0,940.0,940.0,3760,188.0,282.0,940.0,Femei_35-44
25,4142,Cricau,55000,316.8,316.8,1056.0,1056.0,4224,211.2,316.8,1056.0,Femei_35-44
26,4188,Craciunelu De Jos,56000,322.2,322.2,1074.0,1074.0,4296,214.8,322.2,1074.0,Femei_35-44
27,4240,Daia Romana,57000,472.5,472.5,1575.0,1575.0,6300,315.0,472.5,1575.0,Femei_35-44
28,4268,Dostat,58000,149.85,149.85,499.5,499.5,1998,99.9,149.85,499.5,Femei_35-44
29,4302,Farau,59000,243.45,243.45,811.5,811.5,3246,162.3,243.45,811.5,Femei_35-44
30,4366,Galda De Jos,60000,661.2,661.2,2204.0,2204.0,8816,440.8,661.2,2204.0,Femei_35-44
31,4482,Garbova,61000,317.85,317.85,1059.5,1059.5,4238,211.9,317.85,1059.5,Femei_35-44
32,4525,Garda De Sus,62000,254.4,254.4,848.0,848.0,3392,169.6,254.4,848.0,Femei_35-44
33,4703,Hoparta,63000,179.55,179.55,598.5,598.5,2394,119.7,179.55,598.5,Femei_35-44
34,4767,Horea,64000,315.3,315.3,1051.0,1051.0,4204,210.2,315.3,1051.0,Femei_35-44
35,4927,Ighiu,65000,1030.05,1030.05,3433.5,3433.5,13734,686.7,1030.05,3433.5,Femei_35-44
36,4981,Intregalde,66000,94.05,94.05,313.5,313.5,1254,62.7,94.05,313.5,Femei_35-44
37,5103,Jidvei,67000,796.35,796.35,2654.5,2654.5,10618,530.9,796.35,2654.5,Femei_35-44
38,5167,Livezile,68000,190.65,190.65,635.5,635.5,2542,127.1,190.65,635.5,Femei_35-44
39,5210,Lopadea Noua,69000,407.4,407.4,1358.0,1358.0,5432,271.6,407.4,1358.0,Femei_35-44
40,5309,Lunca Muresului,70000,382.5,382.5,1275.0,1275.0,5100,255.0,382.5,1275.0,Femei_35-44
41,5336,Lupsa,71000,476.1,476.1,1587.0,1587.0,6348,317.4,476.1,1587.0,Femei_35-44
42,5577,Metes,72000,424.95,424.95,1416.5,1416.5,5666,283.3,424.95,1416.5,Femei_35-44
43,5700,Mihalt,73000,491.85,491.85,1639.5,1639.5,6558,327.9,491.85,1639.5,Femei_35-44
44,5755,Miraslau,74000,318.3,318.3,1061.0,1061.0,4244,212.2,318.3,1061.0,Femei_35-44
45,5826,Mogos,75000,121.8,121.8,406.0,406.0,1624,81.2,121.8,406.0,Femei_35-44
46,6048,Noslac,76000,272.55,272.55,908.5,908.5,3634,181.7,272.55,908.5,Femei_35-44
47,6119,Ocolis,77000,88.5,88.5,295.0,295.0,1180,59.0,88.5,295.0,Femei_35-44
48,6164,Ohaba,78000,101.25,101.25,337.5,337.5,1350,67.5,101.25,337.5,Femei_35-44
49,6217,Pianu,79000,541.65,541.65,1805.5,1805.5,7222,361.1,541.65,1805.5,Femei_35-44
50,6271,Poiana Vadului,80000,166.5,166.5,555.0,555.0,2220,111.0,166.5,555.0,Femei_35-44
51,6397,Ponor,81000,86.4,86.4,288.0,288.0,1152,57.6,86.4,288.0,Femei_35-44
52,6468,Posaga,82000,159.75,159.75,532.5,532.5,2130,106.5,159.75,532.5,Femei_35-44
53,6547,Radesti,83000,199.05,199.05,663.5,663.5,2654,132.7,199.05,663.5,Femei_35-44
54,6592,Rametea,84000,157.65,157.65,525.5,525.5,2102,105.1,157.65,525.5,Femei_35-44
55,6627,Ramet,85000,81.3,81.3,271.0,271.0,1084,54.2,81.3,271.0,Femei_35-44
56,6761,Rosia Montana,86000,430.65,430.65,1435.5,1435.5,5742,287.1,430.65,1435.5,Femei_35-44
57,6930,Rosia De Secas,87000,240.15,240.15,800.5,800.5,3202,160.1,240.15,800.5,Femei_35-44
58,6976,Salciua,88000,232.35,232.35,774.5,774.5,3098,154.9,232.35,774.5,Femei_35-44
59,7044,Salistea,89000,353.1,353.1,1177.0,1177.0,4708,235.4,353.1,1177.0,Femei_35-44
60,7099,Sasciori,90000,962.85,962.85,3209.5,3209.5,12838,641.9,962.85,3209.5,Femei_35-44
61,7197,Scarisoara,91000,252.3,252.3,841.0,841.0,3364,168.2,252.3,841.0,Femei_35-44
62,7348,Sancel,92000,405.45,405.45,1351.5,1351.5,5406,270.3,405.45,1351.5,Femei_35-44
63,7384,Santimbru,93000,452.85,452.85,1509.5,1509.5,6038,301.9,452.85,1509.5,Femei_35-44
64,7446,Sohodol,94000,269.55,269.55,898.5,898.5,3594,179.7,269.55,898.5,Femei_35-44
65,7767,Stremt,95000,371.85,371.85,1239.5,1239.5,4958,247.9,371.85,1239.5,Femei_35-44
66,7810,Sibot,96000,369.6,369.6,1232.0,1232.0,4928,246.4,369.6,1232.0,Femei_35-44
67,7865,Sona,97000,664.95,664.95,2216.5,2216.5,8866,443.3,664.95,2216.5,Femei_35-44
68,7945,Spring,98000,388.65,388.65,1295.5,1295.5,5182,259.1,388.65,1295.5,Femei_35-44
69,8014,Sugag,99000,436.95,436.95,1456.5,1456.5,5826,291.3,436.95,1456.5,Femei_35-44
70,8096,Oras Teius,100000,1127.85,1127.85,3759.5,3759.5,15038,751.9,1127.85,3759.5,Femei_35-44
71,8158,Unirea,101000,760.65,760.65,2535.5,2535.5,10142,507.1,760.65,2535.5,Femei_35-44
72,8229,Vadu Motilor,102000,206.25,206.25,687.5,687.5,2750,137.5,206.25,687.5,Femei_35-44
73,8354,Valea Lunga,103000,470.7,470.7,1569.0,1569.0,6276,313.8,470.7,1569.0,Femei_35-44
74,8425,Vidra,104000,248.7,248.7,829.0,829.0,3316,165.8,248.7,829.0,Femei_35-44
75,8826,Vintu De Jos,105000,821.25,821.25,2737.5,2737.5,10950,547.5,821.25,2737.5,Femei_35-44
76,9019,Cut,106000,190.35,190.35,634.5,634.5,2538,126.9,190.35,634.5,Femei_35-44
77,9026,Bucerdea Granoasa,107000,360.9,360.9,1203.0,1203.0,4812,240.6,360.9,1203.0,Femei_35-44
78,9262,Municipiul Arad,108000,26873.25,26873.25,89577.5,89577.5,358310,17915.5,26873.25,89577.5,Femei_35-44
79,9280,Fantanele,109000,556.8,556.8,1856.0,1856.0,7424,371.2,556.8,1856.0,Femei_35-44
80,9333,Livada,110000,521.1,521.1,1737.0,1737.0,6948,347.4,521.1,1737.0,Femei_35-44
81,9360,Sofronea,111000,412.65,412.65,1375.5,1375.5,5502,275.1,412.65,1375.5,Femei_35-44
82,9397,Vladimirescu,112000,1947.3,1947.3,6491.0,6491.0,25964,1298.2,1947.3,6491.0,Femei_35-44
83,9459,Oras Chisineu-Cris,113000,1265.55,1265.55,4218.5,4218.5,16874,843.7,1265.55,4218.5,Femei_35-44
84,9495,Oras Curtici,114000,1307.4,1307.4,4358.0,4358.0,17432,871.6,1307.4,4358.0,Femei_35-44
85,9538,Oras Ineu,115000,1437.15,1437.15,4790.5,4790.5,19162,958.1,1437.15,4790.5,Femei_35-44
86,9574,Oras Lipova,116000,1709.4,1709.4,5698.0,5698.0,22792,1139.6,1709.4,5698.0,Femei_35-44
87,9627,Oras Nadlac,117000,1200.3,1200.3,4001.0,4001.0,16004,800.2,1200.3,4001.0,Femei_35-44
88,9654,Oras Pancota,118000,1218.9,1218.9,4063.0,4063.0,16252,812.6,1218.9,4063.0,Femei_35-44
89,9690,Oras Sebis,119000,966.75,966.75,3222.5,3222.5,12890,644.5,966.75,3222.5,Femei_35-44
90,9743,Almas,120000,393.75,393.75,1312.5,1312.5,5250,262.5,393.75,1312.5,Femei_35-44
91,9798,Apateu,121000,514.65,514.65,1715.5,1715.5,6862,343.1,514.65,1715.5,Femei_35-44
92,9832,Archis,122000,231.75,231.75,772.5,772.5,3090,154.5,231.75,772.5,Femei_35-44
93,9887,Bata,123000,158.85,158.85,529.5,529.5,2118,105.9,158.85,529.5,Femei_35-44
94,9930,Beliu,124000,453.75,453.75,1512.5,1512.5,6050,302.5,453.75,1512.5,Femei_35-44
95,10006,Birchis,125000,283.35,283.35,944.5,944.5,3778,188.9,283.35,944.5,Femei_35-44
96,10051,Barsa,126000,275.1,275.1,917.0,917.0,3668,183.4,275.1,917.0,Femei_35-44
97,10104,Barzava,127000,381.45,381.45,1271.5,1271.5,5086,254.3,381.45,1271.5,Femei_35-44
98,10195,Bocsig,128000,509.4,509.4,1698.0,1698.0,6792,339.6,509.4,1698.0,Femei_35-44
99,10239,Brazii,129000,183.9,183.9,613.0,613.0,2452,122.6,183.9,613.0,Femei_35-44
100,10293,Buteni,130000,511.05,511.05,1703.5,1703.5,6814,340.7,511.05,1703.5,Femei_35-44
101,10346,Carand,131000,174.0,174.0,580.0,580.0,2320,116.0,174.0,580.0,Femei_35-44
102,10373,Cermei,132000,411.0,411.0,1370.0,1370.0,5480,274.0,411.0,1370.0,Femei_35-44
103,10417,Chisindia,133000,197.55,197.55,658.5,658.5,2634,131.7,197.55,658.5,Femei_35-44
